region,unit_name,reference_period,source,fiscal_self_reliance_unitySrvcId,fiscal_self_reliance_stdIdctId,fiscal_self_reliance_region_code,fiscal_self_reliance,fiscal_autonomy_unitySrvcId,fiscal_autonomy_stdIdctId,fiscal_autonomy_region_code,fiscal_autonomy
Gyeonggi,가평군,2025,KOSIS e-지방지표,955,381,31570,17.1,1106,382,31570,57.7
Gyeonggi,고양시,2025,KOSIS e-지방지표,955,381,31100,32.3,1106,382,31100,51.1
Gyeonggi,과천시,2025,KOSIS e-지방지표,955,381,31110,41.6,1106,382,31110,59.1
Gyeonggi,광명시,2025,KOSIS e-지방지표,955,381,31060,35.9,1106,382,31060,57.5
Gyeonggi,광주시,2025,KOSIS e-지방지표,955,381,31250,31.7,1106,382,31250,51.9
Gyeonggi,구리시,2025,KOSIS e-지방지표,955,381,31120,27.1,1106,382,31120,56.7
Gyeonggi,군포시,2025,KOSIS e-지방지표,955,381,31160,28.6,1106,382,31160,53.0
Gyeonggi,김포시,2025,KOSIS e-지방지표,955,381,31230,33.4,1106,382,31230,53.0
Gyeonggi,남양주시,2025,KOSIS e-지방지표,955,381,31130,28.0,1106,382,31130,52.0
Gyeonggi,동두천시,2025,KOSIS e-지방지표,955,381,31080,12.6,1106,382,31080,49.2
Gyeonggi,부천시,2025,KOSIS e-지방지표,955,381,31050,28.1,1106,382,31050,48.0
Gyeonggi,성남시,2025,KOSIS e-지방지표,955,381,31020,53.7,1106,382,31020,60.7
Gyeonggi,수원시,2025,KOSIS e-지방지표,955,381,31010,42.9,1106,382,31010,52.8
Gyeonggi,시흥시,2025,KOSIS e-지방지표,955,381,31150,34.1,1106,382,31150,49.8
Gyeonggi,안산시,2025,KOSIS e-지방지표,955,381,31090,34.2,1106,382,31090,56.7
Gyeonggi,안성시,2025,KOSIS e-지방지표,955,381,31220,28.5,1106,382,31220,58.1
Gyeonggi,안양시,2025,KOSIS e-지방지표,955,381,31040,35.8,1106,382,31040,51.4
Gyeonggi,양주시,2025,KOSIS e-지방지표,955,381,31260,26.5,1106,382,31260,54.0
Gyeonggi,양평군,2025,KOSIS e-지방지표,955,381,31580,17.3,1106,382,31580,60.0
Gyeonggi,여주시,2025,KOSIS e-지방지표,955,381,31280,21.1,1106,382,31280,58.3
Gyeonggi,연천군,2025,KOSIS e-지방지표,955,381,31550,15.3,1106,382,31550,65.0
Gyeonggi,오산시,2025,KOSIS e-지방지표,955,381,31140,34.8,1106,382,31140,55.2
Gyeonggi,용인시,2025,KOSIS e-지방지표,955,381,31190,47.9,1106,382,31190,57.2
Gyeonggi,의왕시,2025,KOSIS e-지방지표,955,381,31170,37.8,1106,382,31170,57.4
Gyeonggi,의정부시,2025,KOSIS e-지방지표,955,381,31030,22.1,1106,382,31030,46.0
Gyeonggi,이천시,2025,KOSIS e-지방지표,955,381,31210,45.4,1106,382,31210,57.2
Gyeonggi,파주시,2025,KOSIS e-지방지표,955,381,31200,28.5,1106,382,31200,51.1
Gyeonggi,평택시,2025,KOSIS e-지방지표,955,381,31070,41.6,1106,382,31070,55.3
Gyeonggi,포천시,2025,KOSIS e-지방지표,955,381,31270,19.6,1106,382,31270,52.8
Gyeonggi,하남시,2025,KOSIS e-지방지표,955,381,31180,43.2,1106,382,31180,53.5
Gyeonggi,화성시,2025,KOSIS e-지방지표,955,381,31240,52.0,1106,382,31240,59.4
Incheon,강화군,2025,KOSIS e-지방지표,955,381,23510,12.0,1106,382,23510,53.7
Incheon,계양구,2025,KOSIS e-지방지표,955,381,23070,14.6,1106,382,23070,33.7
Incheon,남동구,2025,KOSIS e-지방지표,955,381,23050,16.8,1106,382,23050,28.2
Incheon,동구,2025,KOSIS e-지방지표,955,381,23020,12.8,1106,382,23020,40.4
Incheon,미추홀구,2025,KOSIS e-지방지표,955,381,23090,13.2,1106,382,23090,28.3
Incheon,부평구,2025,KOSIS e-지방지표,955,381,23060,15.7,1106,382,23060,28.6
Incheon,서구,2025,KOSIS e-지방지표,955,381,23080,27.5,1106,382,23080,34.2
Incheon,연수구,2025,KOSIS e-지방지표,955,381,23040,29.9,1106,382,23040,37.7
Incheon,옹진군,2025,KOSIS e-지방지표,955,381,23520,10.1,1106,382,23520,50.5
Incheon,중구,2025,KOSIS e-지방지표,955,381,23010,42.1,1106,382,23010,48.0
Seoul,강남구,2025,KOSIS e-지방지표,955,381,11230,54.8,1106,382,11230,56.6
Seoul,강동구,2025,KOSIS e-지방지표,955,381,11250,24.9,1106,382,11250,42.9
Seoul,강북구,2025,KOSIS e-지방지표,955,381,11090,15.6,1106,382,11090,40.5
Seoul,강서구,2025,KOSIS e-지방지표,955,381,11160,19.4,1106,382,11160,36.2
Seoul,관악구,2025,KOSIS e-지방지표,955,381,11210,17.1,1106,382,11210,40.6
Seoul,광진구,2025,KOSIS e-지방지표,955,381,11050,23.0,1106,382,11050,44.4
Seoul,구로구,2025,KOSIS e-지방지표,955,381,11170,19.6,1106,382,11170,41.4
Seoul,금천구,2025,KOSIS e-지방지표,955,381,11180,21.6,1106,382,11180,43.0
Seoul,노원구,2025,KOSIS e-지방지표,955,381,11110,16.6,1106,382,11110,39.5
Seoul,도봉구,2025,KOSIS e-지방지표,955,381,11100,16.8,1106,382,11100,43.2
Seoul,동대문구,2025,KOSIS e-지방지표,955,381,11060,20.3,1106,382,11060,44.1
Seoul,동작구,2025,KOSIS e-지방지표,955,381,11200,28.2,1106,382,11200,48.4
Seoul,마포구,2025,KOSIS e-지방지표,955,381,11140,29.2,1106,382,11140,45.6
Seoul,서대문구,2025,KOSIS e-지방지표,955,381,11130,21.6,1106,382,11130,45.0
Seoul,서초구,2025,KOSIS e-지방지표,955,381,11220,52.6,1106,382,11220,55.0
Seoul,성동구,2025,KOSIS e-지방지표,955,381,11040,32.9,1106,382,11040,52.0
Seoul,성북구,2025,KOSIS e-지방지표,955,381,11080,17.0,1106,382,11080,38.2
Seoul,송파구,2025,KOSIS e-지방지표,955,381,11240,32.8,1106,382,11240,39.3
Seoul,양천구,2025,KOSIS e-지방지표,955,381,11150,23.2,1106,382,11150,42.1
Seoul,영등포구,2025,KOSIS e-지방지표,955,381,11190,34.3,1106,382,11190,46.9
Seoul,용산구,2025,KOSIS e-지방지표,955,381,11030,37.3,1106,382,11030,51.1
Seoul,은평구,2025,KOSIS e-지방지표,955,381,11120,15.7,1106,382,11120,37.5
Seoul,종로구,2025,KOSIS e-지방지표,955,381,11010,39.8,1106,382,11010,55.0
Seoul,중구,2025,KOSIS e-지방지표,955,381,11020,55.7,1106,382,11020,60.9
Seoul,중랑구,2025,KOSIS e-지방지표,955,381,11070,15.1,1106,382,11070,35.9
