region,unit_name,unit_type,run_scope,population_period,population_source,population,households,persons_per_household,migration_period,migration_source,migration_table_id,migration_indicator_id,migration_region_code,migration_value,employment_period,employment_source,employment_table_id,employment_region_code,employed_thousand,employment_rate,merge_status,notes
Seoul,종로구,autonomous_district,run-1-main-66,2026-03,MOIS,136817,72570,1.89,2026-02,KOSIS,DT_1B26001,T10,11110,2153,2025-H2,KOSIS,DT_1ES3A03_A01S,1101,73,54.1,migration_ok;employment_ok,
Seoul,중구,autonomous_district,run-1-main-66,2026-03,MOIS,117762,63968,1.84,2026-02,KOSIS,DT_1B26001,T10,11140,1812,2025-H2,KOSIS,DT_1ES3A03_A01S,1102,69,58.4,migration_ok;employment_ok,
Seoul,용산구,autonomous_district,run-1-main-66,2026-03,MOIS,200962,102627,1.96,2026-02,KOSIS,DT_1B26001,T10,11170,3049,2025-H2,KOSIS,DT_1ES3A03_A01S,1103,113,61.1,migration_ok;employment_ok,
Seoul,성동구,autonomous_district,run-1-main-66,2026-03,MOIS,275093,133910,2.05,2026-02,KOSIS,DT_1B26001,T10,11200,4531,2025-H2,KOSIS,DT_1ES3A03_A01S,1104,150,59.9,migration_ok;employment_ok,
Seoul,광진구,autonomous_district,run-1-main-66,2026-03,MOIS,331123,171849,1.93,2026-02,KOSIS,DT_1B26001,T10,11215,4888,2025-H2,KOSIS,DT_1ES3A03_A01S,1105,196,61.6,migration_ok;employment_ok,
Seoul,동대문구,autonomous_district,run-1-main-66,2026-03,MOIS,351542,180029,1.95,2026-02,KOSIS,DT_1B26001,T10,11230,7775,2025-H2,KOSIS,DT_1ES3A03_A01S,1106,179,54.2,migration_ok;employment_ok,
Seoul,중랑구,autonomous_district,run-1-main-66,2026-03,MOIS,376665,190029,1.98,2026-02,KOSIS,DT_1B26001,T10,11260,3887,2025-H2,KOSIS,DT_1ES3A03_A01S,1107,200,58.4,migration_ok;employment_ok,
Seoul,성북구,autonomous_district,run-1-main-66,2026-03,MOIS,422778,199878,2.12,2026-02,KOSIS,DT_1B26001,T10,11290,6756,2025-H2,KOSIS,DT_1ES3A03_A01S,1108,220,56.0,migration_ok;employment_ok,
Seoul,강북구,autonomous_district,run-1-main-66,2026-03,MOIS,278786,142760,1.95,2026-02,KOSIS,DT_1B26001,T10,11305,3112,2025-H2,KOSIS,DT_1ES3A03_A01S,1109,134,52.1,migration_ok;employment_ok,
Seoul,도봉구,autonomous_district,run-1-main-66,2026-03,MOIS,299065,139159,2.15,2026-02,KOSIS,DT_1B26001,T10,11320,2702,2025-H2,KOSIS,DT_1ES3A03_A01S,1110,154,57.3,migration_ok;employment_ok,
Seoul,노원구,autonomous_district,run-1-main-66,2026-03,MOIS,482487,217323,2.22,2026-02,KOSIS,DT_1B26001,T10,11350,6176,2025-H2,KOSIS,DT_1ES3A03_A01S,1111,243,56.4,migration_ok;employment_ok,
Seoul,은평구,autonomous_district,run-1-main-66,2026-03,MOIS,454109,214613,2.12,2026-02,KOSIS,DT_1B26001,T10,11380,4698,2025-H2,KOSIS,DT_1ES3A03_A01S,1112,241,59.6,migration_ok;employment_ok,
Seoul,서대문구,autonomous_district,run-1-main-66,2026-03,MOIS,300594,147073,2.04,2026-02,KOSIS,DT_1B26001,T10,11410,5137,2025-H2,KOSIS,DT_1ES3A03_A01S,1113,164,56.7,migration_ok;employment_ok,
Seoul,마포구,autonomous_district,run-1-main-66,2026-03,MOIS,356966,180563,1.98,2026-02,KOSIS,DT_1B26001,T10,11440,5594,2025-H2,KOSIS,DT_1ES3A03_A01S,1114,200,61.4,migration_ok;employment_ok,
Seoul,양천구,autonomous_district,run-1-main-66,2026-03,MOIS,423666,179554,2.36,2026-02,KOSIS,DT_1B26001,T10,11470,5454,2025-H2,KOSIS,DT_1ES3A03_A01S,1115,217,59.9,migration_ok;employment_ok,
Seoul,강서구,autonomous_district,run-1-main-66,2026-03,MOIS,548985,274207,2.00,2026-02,KOSIS,DT_1B26001,T10,11500,6601,2025-H2,KOSIS,DT_1ES3A03_A01S,1116,301,61.5,migration_ok;employment_ok,
Seoul,구로구,autonomous_district,run-1-main-66,2026-03,MOIS,382836,184675,2.07,2026-02,KOSIS,DT_1B26001,T10,11530,4081,2025-H2,KOSIS,DT_1ES3A03_A01S,1117,230,62.2,migration_ok;employment_ok,
Seoul,금천구,autonomous_district,run-1-main-66,2026-03,MOIS,222712,121723,1.83,2026-02,KOSIS,DT_1B26001,T10,11545,2427,2025-H2,KOSIS,DT_1ES3A03_A01S,1118,132,59.9,migration_ok;employment_ok,
Seoul,영등포구,autonomous_district,run-1-main-66,2026-03,MOIS,371177,193000,1.92,2026-02,KOSIS,DT_1B26001,T10,11560,5779,2025-H2,KOSIS,DT_1ES3A03_A01S,1119,234,65.6,migration_ok;employment_ok,
Seoul,동작구,autonomous_district,run-1-main-66,2026-03,MOIS,372236,187849,1.98,2026-02,KOSIS,DT_1B26001,T10,11590,6028,2025-H2,KOSIS,DT_1ES3A03_A01S,1120,213,61.0,migration_ok;employment_ok,
Seoul,관악구,autonomous_district,run-1-main-66,2026-03,MOIS,478468,290923,1.64,2026-02,KOSIS,DT_1B26001,T10,11620,8894,2025-H2,KOSIS,DT_1ES3A03_A01S,1121,268,57.6,migration_ok;employment_ok,
Seoul,서초구,autonomous_district,run-1-main-66,2026-03,MOIS,415540,174100,2.39,2026-02,KOSIS,DT_1B26001,T10,11650,6121,2025-H2,KOSIS,DT_1ES3A03_A01S,1122,200,58.5,migration_ok;employment_ok,
Seoul,강남구,autonomous_district,run-1-main-66,2026-03,MOIS,554165,244970,2.26,2026-02,KOSIS,DT_1B26001,T10,11680,9028,2025-H2,KOSIS,DT_1ES3A03_A01S,1123,273,58.9,migration_ok;employment_ok,
Seoul,송파구,autonomous_district,run-1-main-66,2026-03,MOIS,650071,289170,2.25,2026-02,KOSIS,DT_1B26001,T10,11710,13353,2025-H2,KOSIS,DT_1ES3A03_A01S,1124,343,61.8,migration_ok;employment_ok,
Seoul,강동구,autonomous_district,run-1-main-66,2026-03,MOIS,499795,223615,2.24,2026-02,KOSIS,DT_1B26001,T10,11740,7312,2025-H2,KOSIS,DT_1ES3A03_A01S,1125,253,58.8,migration_ok;employment_ok,
Incheon,중구,autonomous_district,run-1-main-66,2026-03,MOIS,177848,89692,1.98,2026-02,KOSIS,DT_1B26001,T10,28110,2480,2025-H2,KOSIS,DT_1ES3A03_A01S,2301,99,64.5,migration_ok;employment_ok,
Incheon,동구,autonomous_district,run-1-main-66,2026-03,MOIS,57603,27911,2.06,2026-02,KOSIS,DT_1B26001,T10,28140,1223,2025-H2,KOSIS,DT_1ES3A03_A01S,2302,31,60.0,migration_ok;employment_ok,
Incheon,미추홀구,autonomous_district,run-1-main-66,2026-03,MOIS,417486,206184,2.02,2026-02,KOSIS,DT_1B26001,T10,28177,4422,2025-H2,KOSIS,DT_1ES3A03_A01S,2309,230,59.0,migration_ok;employment_ok,
Incheon,연수구,autonomous_district,run-1-main-66,2026-03,MOIS,410050,168969,2.43,2026-02,KOSIS,DT_1B26001,T10,28185,5349,2025-H2,KOSIS,DT_1ES3A03_A01S,2304,222,61.1,migration_ok;employment_ok,
Incheon,남동구,autonomous_district,run-1-main-66,2026-03,MOIS,479700,226339,2.12,2026-02,KOSIS,DT_1B26001,T10,28200,4237,2025-H2,KOSIS,DT_1ES3A03_A01S,2305,263,60.5,migration_ok;employment_ok,
Incheon,부평구,autonomous_district,run-1-main-66,2026-03,MOIS,489390,226716,2.16,2026-02,KOSIS,DT_1B26001,T10,28237,4005,2025-H2,KOSIS,DT_1ES3A03_A01S,2306,269,60.5,migration_ok;employment_ok,
Incheon,계양구,autonomous_district,run-1-main-66,2026-03,MOIS,277157,128943,2.15,2026-02,KOSIS,DT_1B26001,T10,28245,2152,2025-H2,KOSIS,DT_1ES3A03_A01S,2307,154,61.7,migration_ok;employment_ok,
Incheon,서구,autonomous_district,run-1-main-66,2026-03,MOIS,657709,284241,2.31,2026-02,KOSIS,DT_1B26001,T10,28260,7760,2025-H2,KOSIS,DT_1ES3A03_A01S,2308,361,64.3,migration_ok;employment_ok,
Incheon,강화군,county,run-1-main-66,2026-03,MOIS,69615,36217,1.92,2026-02,KOSIS,DT_1B26001,T10,28710,623,2025-H2,KOSIS,DT_1ES3A03_A01S,2331,40,66.3,migration_ok;employment_ok,
Incheon,옹진군,county,run-1-main-66,2026-03,MOIS,19425,12211,1.59,2026-02,KOSIS,DT_1B26001,T10,28720,230,2025-H2,KOSIS,DT_1ES3A03_A01S,2332,12,79.0,migration_ok;employment_ok,
Gyeonggi,수원시,city,run-1-main-66,2026-03,MOIS,1186167,544090,2.18,2026-02,KOSIS,DT_1B26001,T10,41110,16100,2025-H2,KOSIS,DT_1ES3A03_A01S,3101,675,62.8,migration_ok;employment_ok,
Gyeonggi,성남시,city,run-1-main-66,2026-03,MOIS,905493,410325,2.21,2026-02,KOSIS,DT_1B26001,T10,41130,12959,2025-H2,KOSIS,DT_1ES3A03_A01S,3102,472,59.6,migration_ok;employment_ok,
Gyeonggi,의정부시,city,run-1-main-66,2026-03,MOIS,461460,213101,2.17,2026-02,KOSIS,DT_1B26001,T10,41150,4271,2025-H2,KOSIS,DT_1ES3A03_A01S,3103,240,59.0,migration_ok;employment_ok,
Gyeonggi,안양시,city,run-1-main-66,2026-03,MOIS,562666,240437,2.34,2026-02,KOSIS,DT_1B26001,T10,41170,6557,2025-H2,KOSIS,DT_1ES3A03_A01S,3104,307,62.5,migration_ok;employment_ok,
Gyeonggi,부천시,city,run-1-main-66,2026-03,MOIS,756701,342945,2.21,2026-02,KOSIS,DT_1B26001,T10,41190,6643,2025-H2,KOSIS,DT_1ES3A03_A01S,3105,409,58.6,migration_ok;employment_ok,
Gyeonggi,광명시,city,run-1-main-66,2026-03,MOIS,302390,127060,2.38,2026-02,KOSIS,DT_1B26001,T10,41210,7329,2025-H2,KOSIS,DT_1ES3A03_A01S,3106,152,60.5,migration_ok;employment_ok,
Gyeonggi,평택시,city,run-1-main-66,2026-03,MOIS,615107,296089,2.08,2026-02,KOSIS,DT_1B26001,T10,41220,8758,2025-H2,KOSIS,DT_1ES3A03_A01S,3107,352,64.7,migration_ok;employment_ok,
Gyeonggi,동두천시,city,run-1-main-66,2026-03,MOIS,86326,43698,1.98,2026-02,KOSIS,DT_1B26001,T10,41250,735,2025-H2,KOSIS,DT_1ES3A03_A01S,3108,46,56.0,migration_ok;employment_ok,
Gyeonggi,안산시,city,run-1-main-66,2026-03,MOIS,610783,288635,2.12,2026-02,KOSIS,DT_1B26001,T10,41270,5545,2025-H2,KOSIS,DT_1ES3A03_A01S,3109,379,62.6,migration_ok;employment_ok,
Gyeonggi,고양시,city,run-1-main-66,2026-03,MOIS,1058050,467120,2.27,2026-02,KOSIS,DT_1B26001,T10,41280,11130,2025-H2,KOSIS,DT_1ES3A03_A01S,3110,549,59.9,migration_ok;employment_ok,
Gyeonggi,과천시,city,run-1-main-66,2026-03,MOIS,80197,28948,2.77,2026-02,KOSIS,DT_1B26001,T10,41290,1116,2025-H2,KOSIS,DT_1ES3A03_A01S,3111,38,60.0,migration_ok;employment_ok,
Gyeonggi,구리시,city,run-1-main-66,2026-03,MOIS,185982,82048,2.27,2026-02,KOSIS,DT_1B26001,T10,41310,1729,2025-H2,KOSIS,DT_1ES3A03_A01S,3112,100,62.0,migration_ok;employment_ok,
Gyeonggi,남양주시,city,run-1-main-66,2026-03,MOIS,728597,309151,2.36,2026-02,KOSIS,DT_1B26001,T10,41360,6168,2025-H2,KOSIS,DT_1ES3A03_A01S,3113,376,60.0,migration_ok;employment_ok,
Gyeonggi,오산시,city,run-1-main-66,2026-03,MOIS,250783,116237,2.16,2026-02,KOSIS,DT_1B26001,T10,41370,3001,2025-H2,KOSIS,DT_1ES3A03_A01S,3114,142,63.1,migration_ok;employment_ok,
Gyeonggi,시흥시,city,run-1-main-66,2026-03,MOIS,514501,230512,2.23,2026-02,KOSIS,DT_1B26001,T10,41390,4546,2025-H2,KOSIS,DT_1ES3A03_A01S,3115,308,63.6,migration_ok;employment_ok,
Gyeonggi,군포시,city,run-1-main-66,2026-03,MOIS,250300,111714,2.24,2026-02,KOSIS,DT_1B26001,T10,41410,2285,2025-H2,KOSIS,DT_1ES3A03_A01S,3116,138,60.9,migration_ok;employment_ok,
Gyeonggi,의왕시,city,run-1-main-66,2026-03,MOIS,162209,66951,2.42,2026-02,KOSIS,DT_1B26001,T10,41430,1938,2025-H2,KOSIS,DT_1ES3A03_A01S,3117,87,63.4,migration_ok;employment_ok,
Gyeonggi,하남시,city,run-1-main-66,2026-03,MOIS,327824,141010,2.32,2026-02,KOSIS,DT_1B26001,T10,41450,4115,2025-H2,KOSIS,DT_1ES3A03_A01S,3118,179,63.9,migration_ok;employment_ok,
Gyeonggi,용인시,city,run-1-main-66,2026-03,MOIS,1090420,450227,2.42,2026-02,KOSIS,DT_1B26001,T10,41460,14832,2025-H2,KOSIS,DT_1ES3A03_A01S,3119,562,58.4,migration_ok;employment_ok,
Gyeonggi,파주시,city,run-1-main-66,2026-03,MOIS,530201,235658,2.25,2026-02,KOSIS,DT_1B26001,T10,41480,6972,2025-H2,KOSIS,DT_1ES3A03_A01S,3120,280,62.1,migration_ok;employment_ok,
Gyeonggi,이천시,city,run-1-main-66,2026-03,MOIS,223229,107488,2.08,2026-02,KOSIS,DT_1B26001,T10,41500,2806,2025-H2,KOSIS,DT_1ES3A03_A01S,3121,137,66.1,migration_ok;employment_ok,
Gyeonggi,안성시,city,run-1-main-66,2026-03,MOIS,197266,97719,2.02,2026-02,KOSIS,DT_1B26001,T10,41550,2218,2025-H2,KOSIS,DT_1ES3A03_A01S,3122,122,62.4,migration_ok;employment_ok,
Gyeonggi,김포시,city,run-1-main-66,2026-03,MOIS,484334,207773,2.33,2026-02,KOSIS,DT_1B26001,T10,41570,4736,2025-H2,KOSIS,DT_1ES3A03_A01S,3123,261,61.1,migration_ok;employment_ok,
Gyeonggi,화성시,city,run-1-main-66,2026-03,MOIS,995253,431545,2.31,2026-02,KOSIS,DT_1B26001,T10,41590,14635,2025-H2,KOSIS,DT_1ES3A03_A01S,3124,587,67.1,migration_ok;employment_ok,
Gyeonggi,광주시,city,run-1-main-66,2026-03,MOIS,397166,176114,2.26,2026-02,KOSIS,DT_1B26001,T10,41610,3290,2025-H2,KOSIS,DT_1ES3A03_A01S,3125,225,63.2,migration_ok;employment_ok,
Gyeonggi,양주시,city,run-1-main-66,2026-03,MOIS,296830,132909,2.23,2026-02,KOSIS,DT_1B26001,T10,41630,2925,2025-H2,KOSIS,DT_1ES3A03_A01S,3126,154,59.6,migration_ok;employment_ok,
Gyeonggi,포천시,city,run-1-main-66,2026-03,MOIS,140428,74037,1.90,2026-02,KOSIS,DT_1B26001,T10,41650,1124,2025-H2,KOSIS,DT_1ES3A03_A01S,3127,90,64.1,migration_ok;employment_ok,
Gyeonggi,여주시,city,run-1-main-66,2026-03,MOIS,113621,56959,1.99,2026-02,KOSIS,DT_1B26001,T10,41670,982,2025-H2,KOSIS,DT_1ES3A03_A01S,3128,68,63.8,migration_ok;employment_ok,
Gyeonggi,연천군,county,run-1-main-66,2026-03,MOIS,42684,22689,1.88,2026-02,KOSIS,DT_1B26001,T10,41800,449,2025-H2,KOSIS,DT_1ES3A03_A01S,3135,20,59.4,migration_ok;employment_ok,
Gyeonggi,가평군,county,run-1-main-66,2026-03,MOIS,61963,33144,1.87,2026-02,KOSIS,DT_1B26001,T10,41820,551,2025-H2,KOSIS,DT_1ES3A03_A01S,3137,34,62.3,migration_ok;employment_ok,
Gyeonggi,양평군,county,run-1-main-66,2026-03,MOIS,126742,63782,1.99,2026-02,KOSIS,DT_1B26001,T10,41830,1058,2025-H2,KOSIS,DT_1ES3A03_A01S,3138,67,59.7,migration_ok;employment_ok,
