region,unit_name,unit_type,population,migration_value,employment_rate,employed_thousand,commuting_value,fiscal_self_reliance,fiscal_autonomy,urban_population_ratio_admin,land_price_value,commercial_resources_score,hubness_score,human_activity_score,new_economy_score,future_plasticity_score,total_score,final_grade
Seoul,종로구,autonomous_district,136817,2153,54.1,73,244.7,39.8,55.0,100,0.238,56.39,57.6549,11.7692,48.205,62.2711,49.6675,7
Seoul,중구,autonomous_district,117762,1812,58.4,69,321.0,55.7,60.9,100,0.232,61.5819,57.6271,16.4616,61.2353,70.174,55.062,6
Seoul,용산구,autonomous_district,200962,3049,61.1,113,125.0,37.3,51.1,100,0.611,67.67,56.9742,39.6923,66.4524,59.9908,59.4649,5
Seoul,성동구,autonomous_district,275093,4531,59.9,150,112.6,32.9,52.0,100,0.347,64.7672,59.6277,42.3846,62.6449,64.3407,59.7426,5
Seoul,광진구,autonomous_district,331123,4888,61.6,196,90.1,23.0,44.4,100,0.293,56.7017,38.4551,53.4616,58.5452,60.7051,52.5311,6
Seoul,동대문구,autonomous_district,351542,7775,54.2,179,105.2,20.3,44.1,100,0.258,49.3181,54.8208,45.0769,38.0969,60.6227,50.0701,6
Seoul,중랑구,autonomous_district,376665,3887,58.4,200,82.1,15.1,35.9,100,0.194,36.7816,26.1878,28.0,25.8237,53.7454,33.7168,9
Seoul,성북구,autonomous_district,422778,6756,56.0,220,93.6,17.0,38.2,100,0.197,43.0548,47.5827,42.2308,26.0012,59.2033,43.9274,7
Seoul,강북구,autonomous_district,278786,3112,52.1,134,82.9,15.6,40.5,100,0.146,27.7616,18.5329,18.4615,20.7325,52.8663,26.7708,9
Seoul,도봉구,autonomous_district,299065,2702,57.3,154,80.8,16.8,43.2,100,0.136,31.1806,21.9783,20.6154,26.609,57.4634,30.5519,9
Seoul,노원구,autonomous_district,482487,6176,56.4,243,86.2,16.6,39.5,100,0.146,40.2104,40.4001,40.1538,22.2087,63.4707,41.0381,8
Seoul,은평구,autonomous_district,454109,4698,59.6,241,77.3,15.7,37.5,100,0.222,47.5453,31.3559,41.9231,35.6356,59.0385,42.5921,7
Seoul,서대문구,autonomous_district,300594,5137,56.7,164,105.3,21.6,45.0,100,0.211,44.2529,54.793,34.2308,35.6376,59.7619,46.4187,7
Seoul,마포구,autonomous_district,356966,5594,61.4,200,120.8,29.2,45.6,100,0.338,64.7185,66.3518,55.3077,59.5323,62.9212,62.6677,5
Seoul,양천구,autonomous_district,423666,5454,59.9,217,82.1,23.2,42.1,100,0.26,55.0166,27.8827,47.7692,46.2809,63.8828,47.1656,7
Seoul,강서구,autonomous_district,548985,6601,61.5,301,97.0,19.4,36.2,100,0.181,50.4286,65.2125,61.6923,35.3906,63.5714,55.5299,6
Seoul,구로구,autonomous_district,382836,4081,62.2,230,103.5,19.6,41.4,100,0.16,43.0937,59.1414,51.5384,43.6178,60.2106,51.0185,6
Seoul,금천구,autonomous_district,222712,2427,59.9,132,128.6,21.6,43.0,100,0.14,32.9534,59.4887,30.0769,34.477,52.7656,42.3561,7
Seoul,영등포구,autonomous_district,371177,5779,65.6,234,142.8,34.3,46.9,100,0.272,71.5858,77.202,79.0769,73.7962,64.6246,73.4009,4
Seoul,동작구,autonomous_district,372236,6028,61.0,213,88.6,28.2,48.4,100,0.261,59.0395,38.5107,54.8462,56.0601,66.3278,53.9246,6
Seoul,관악구,autonomous_district,478468,8894,57.6,268,80.1,17.1,40.6,100,0.15,45.3244,36.4129,51.6154,27.1243,64.2308,44.1461,7
Seoul,서초구,autonomous_district,415540,6121,58.5,200,140.2,52.6,55.0,100,0.396,79.6318,70.4501,43.6154,62.0129,76.63,68.8408,4
Seoul,강남구,autonomous_district,554165,9028,58.9,273,192.7,54.8,56.6,100,0.602,90.3858,85.6488,57.3846,66.3636,86.1081,80.0064,3
Seoul,송파구,autonomous_district,650071,13353,61.8,343,100.4,32.8,39.3,100,0.267,74.9269,70.2139,74.6923,50.506,68.5165,69.0888,4
Seoul,강동구,autonomous_district,499795,7312,58.8,253,86.1,24.9,42.9,100,0.269,62.9359,40.4279,51.7692,45.136,68.5806,53.8106,6
Incheon,중구,autonomous_district,177848,2480,64.5,99,136.0,42.1,48.0,100,0.058,37.7655,56.9186,57.8462,47.0694,55.4762,49.6181,7
Incheon,동구,autonomous_district,57603,1223,60.0,31,112.4,12.8,40.4,100,0.043,4.549,41.8588,24.9231,20.8378,41.5018,24.9188,9
Incheon,미추홀구,autonomous_district,417486,4422,59.0,230,92.5,13.2,28.3,100,0.062,24.3328,46.8464,37.6154,12.0868,53.9286,34.5561,8
Incheon,연수구,autonomous_district,410050,5349,61.1,222,92.8,29.9,37.7,100,0.064,40.4345,46.7908,52.0,22.8184,57.0696,43.6112,7
Incheon,남동구,autonomous_district,479700,4237,60.5,263,92.9,16.8,28.2,100,0.09,36.2653,55.2375,42.0769,19.4463,56.4103,42.379,7
Incheon,부평구,autonomous_district,489390,4005,60.5,269,88.3,15.7,28.6,100,0.072,33.986,49.5555,39.7692,18.3769,59.1392,40.1775,8
Incheon,계양구,autonomous_district,277157,2152,61.7,154,85.3,14.6,33.7,100,0.077,21.5176,26.0767,36.0,24.2038,46.4011,28.9652,9
Incheon,서구,autonomous_district,657709,7760,64.3,361,93.7,27.5,34.2,100,0.117,54.4906,65.3515,85.3077,41.7821,65.4579,61.5672,5
Incheon,강화군,county,69615,623,66.3,40,101.2,12.0,53.7,31.55,0.038,3.9645,33.7455,50.3077,55.184,28.5919,29.7383,9
Incheon,옹진군,county,19425,230,79.0,12,107.4,10.1,50.5,0,0.036,0.0,37.7049,50.0,51.1905,17.8571,27.2834,9
Gyeonggi,수원시,city,1186167,16100,62.8,675,91.3,42.9,52.8,100,0.191,79.0181,67.2131,85.0,61.1158,87.5,75.5511,3
Gyeonggi,성남시,city,905493,12959,59.6,472,104.3,53.7,60.7,100,0.305,93.2008,77.7577,61.9231,72.0864,96.7583,82.0148,2
Gyeonggi,의정부시,city,461460,4271,59.0,240,83.5,22.1,46.0,100,0.102,40.3078,34.6068,36.8462,31.4269,69.6703,41.4355,8
Gyeonggi,안양시,city,562666,6557,62.5,307,94.8,35.8,51.4,100,0.217,71.6053,63.601,69.9231,61.3866,80.0733,69.0893,4
Gyeonggi,부천시,city,756701,6643,58.6,409,90.2,28.1,48.0,100,0.194,64.1146,62.1562,48.4616,39.657,79.5788,59.928,5
Gyeonggi,광명시,city,302390,7329,60.5,152,84.5,35.9,57.5,100,0.275,67.0953,24.4096,60.5384,69.4564,75.1557,57.0036,6
Gyeonggi,평택시,city,615107,8758,64.7,352,107.3,41.6,55.3,93.5,0.092,63.1794,79.2582,88.8461,62.3446,79.2081,73.3282,4
Gyeonggi,동두천시,city,86326,735,56.0,46,92.7,12.6,49.2,100,0.041,5.6692,23.9372,6.0769,19.7966,53.0769,19.5276,9
Gyeonggi,안산시,city,610783,5545,62.6,379,98.0,34.2,56.7,100,0.221,73.836,71.9644,65.5384,69.7611,87.7289,73.5962,4
Gyeonggi,고양시,city,1058050,11130,59.9,549,86.3,32.3,51.1,100,0.149,65.3127,56.4741,63.1538,43.345,84.0934,62.3012,5
Gyeonggi,과천시,city,80197,1116,60.0,38,110.2,41.6,59.1,100,0.37,61.4845,42.7341,23.3846,73.9956,66.2546,53.6741,6
Gyeonggi,구리시,city,185982,1729,62.0,100,87.5,27.1,56.7,100,0.16,36.9667,22.5202,35.6923,59.5464,66.7033,41.0114,8
Gyeonggi,남양주시,city,728597,6168,60.0,376,85.8,28.0,52.0,95.85,0.184,61.2799,50.6252,53.3846,48.6223,79.9063,58.3272,5
Gyeonggi,오산시,city,250783,3001,63.1,142,86.5,34.8,55.2,100,0.217,56.3413,27.6327,52.9231,68.7437,67.9945,52.2598,6
Gyeonggi,시흥시,city,514501,4546,63.6,308,95.7,34.1,49.8,100,0.231,72.1313,66.0878,65.1539,65.8608,76.2363,69.249,4
Gyeonggi,군포시,city,250300,2285,60.9,138,86.3,28.6,53.0,100,0.214,48.8895,25.9656,32.3077,54.5359,64.5055,43.8606,7
Gyeonggi,의왕시,city,162209,1938,63.4,87,85.8,37.8,57.4,100,0.225,54.6854,15.8795,47.2308,74.7482,66.8681,48.7026,7
Gyeonggi,하남시,city,327824,4115,63.9,179,87.7,43.2,53.5,100,0.244,68.2934,33.5093,63.3077,73.6509,69.7161,59.8666,5
Gyeonggi,용인시,city,1090420,14832,58.4,562,90.0,47.9,57.2,96.74,0.268,89.7818,63.0592,57.2308,59.2377,90.9787,73.8164,4
Gyeonggi,파주시,city,530201,6972,62.1,280,98.8,28.5,51.1,91.77,0.15,56.7894,66.0044,69.0,51.91,64.214,61.3065,5
Gyeonggi,이천시,city,223229,2806,66.1,137,114.6,45.4,57.2,67.11,0.137,52.4839,57.905,62.3846,69.9834,49.742,57.5379,6
Gyeonggi,안성시,city,197266,2218,62.4,122,109.4,28.5,58.1,66.44,0.094,34.1905,52.0839,43.5384,58.4096,48.6237,45.8639,7
Gyeonggi,김포시,city,484334,4736,61.1,261,94.1,33.4,53.0,95.43,0.165,59.6922,56.8491,49.6923,51.3495,72.9821,58.2235,5
Gyeonggi,화성시,city,995253,14635,67.1,587,106.7,52.0,59.4,92.44,0.26,89.2266,85.2181,97.4616,89.0428,84.3159,88.6956,2
Gyeonggi,광주시,city,397166,3290,63.2,225,87.8,31.7,51.9,92.89,0.196,56.2634,40.2612,56.2308,62.3886,61.6338,53.9823,6
Gyeonggi,양주시,city,296830,2925,59.6,154,98.8,26.5,54.0,88.26,0.109,36.957,48.2078,31.1538,42.8188,53.1691,42.2103,7
Gyeonggi,포천시,city,140428,1124,64.1,90,122.8,19.6,52.8,53.65,0.104,25.0146,53.6121,48.1538,57.8729,34.3175,41.959,8
Gyeonggi,여주시,city,113621,982,63.8,68,105.1,21.1,58.3,68.4,0.115,25.0341,38.7468,43.8462,66.5981,49.0379,41.1193,8
Gyeonggi,연천군,county,42684,449,59.4,20,106.4,15.3,65.0,62.36,0.071,8.5428,36.0934,14.7692,46.6215,43.6501,27.3423,9
Gyeonggi,가평군,county,61963,551,62.3,34,105.7,17.1,57.7,34.04,0.082,14.8159,36.9686,32.5384,54.8878,35.9923,32.1997,9
Gyeonggi,양평군,county,126742,1058,59.7,67,95.0,17.3,60.0,29.72,0.087,18.2155,30.5224,20.6154,48.429,38.1238,29.1705,9
